Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
95047495,세이노의 가르침,세이노,"세이노, 세이노",,"=""""","=""9791168473690""",0,3.96,데이원,Paperback,736,2023,,,2025/09/16,to-read,to-read (#78),to-read,,,,0,0
106221879,Lost Zone. Hiking the Dawn of Metaverse,Andrea Belosi,"Belosi, Andrea",,"=""8897753760""","=""9788897753766""",0,4.80,Viaindustriae,Paperback,208,2022,,,2025/09/16,to-read,to-read (#77),to-read,,,,0,0
52086626,나는 소망한다 내게 금지된 것을,Yang Gui-ja,"Gui-ja, Yang",양귀자,"=""8998441071""","=""9788998441074""",0,3.96,쓰다,Paperback,367,2019,,,2025/09/16,to-read,to-read (#76),to-read,,,,0,0
16248667,Programmed Visions: Software and Memory (Software Studies),Wendy Hui Kyong Chun,"Chun, Wendy Hui Kyong",,"=""0262518511""","=""9780262518512""",0,4.09,The MIT Press,Paperback,239,2013,2011,,2025/09/16,to-read,to-read (#75),to-read,,,,0,0
200494646,"[Programmed Visions (Software Studies): Software and Memory] [By: Chun, Wendy Hui Kyong] [January, 2013]",Unknown Author,"Author, Unknown",,"=""""","=""""",0,0.0,MIT Press,Paperback,,,,,2025/09/16,to-read,to-read (#74),to-read,,,,0,0
218042,All About Love: New Visions,bell hooks,"hooks, bell",,"=""0060959479""","=""9780060959470""",0,4.02,William Morrow,Paperback,238,2018,1999,,2025/09/16,to-read,to-read (#73),to-read,,,,0,0
140712307,Sister Outsider Penguin Modern Classics 2019- Paperback - (4 July),Audre Lorde,"Lorde, Audre",,"=""""","=""""",0,4.53,GENERIC,Paperback,0,,1984,,2025/09/16,to-read,to-read (#72),to-read,,,,0,0
37941594,Running Upon the Wires: Poems,Kae Tempest,"Tempest, Kae",,"=""1635570190""","=""9781635570199""",0,3.88,Bloomsbury Publishing,Paperback,64,2018,2018,,2025/09/16,to-read,to-read (#71),to-read,,,,0,0
23357652,White Night Before A Manifesto,Metahaven,"Metahaven, Metahaven",,"=""9078454105""","=""9789078454106""",0,4.17,Onomatopee,Paperback,40,2010,2010,,2025/09/16,to-read,to-read (#70),to-read,,,,0,0
27482937,The Visual Event: An Education in Appearances,Oliver Klimpel,"Klimpel, Oliver",,"=""3944669622""","=""9783944669625""",0,0.0,Spector Books,Paperback,192,2014,,,2025/09/16,to-read,to-read (#69),to-read,,,,0,0
